[IDTYPE	LOCATOR	NAME	SUBSYSTEM	CONFIDENCE	OFFICIALSAVEIDTYPE	STORAGETYPE	HASHCATEGORY	INTERNALPREFIX	NOTE	RECOMMENDEDTEST]
0x045C	FF5C040000	Resonance Points (RP)	Currencies	Confirmed	NA	Int	NA	NA	DLC special-currency balance for item hash 2657283E / ITEM_35_3000. The item row identifies the currency; this section stores the spendable amount.	NA
0x1A91	FF911A0000	Unknown Global Flag 6801	Global State	Unknown	UNK_6801	UInt	NA	NA	Official enum UNK_6801; single UInt currently 1.	Compare brand-new and progressed saves.
0x0A94	FF940A0000	Gem/Sigil Global Field 2708	Sigils	Unknown	GEMDATA_2708	UInt	NA	NA	Official enum GEMDATA_2708; single UInt currently 7.	Modify sigil inventory/equipment and compare.
0x04B1	FFB1040000	Current Location Stage ID	Location	Confirmed	CURRENT_LOCATION_STAGE_ID	Int	NA	NA	Official SaveIDType CURRENT_LOCATION_STAGE_ID.	NA
0x04B6	FFB6040000	Party Health Values	Party	Confirmed	PARTY_HEALTH	Int	NA	NA	Official SaveIDType PARTY_HEALTH; four Int values.	NA
0x04B7	FFB7040000	Current Location Party Data	Location	Tentative	CURRENT_LOCATION_1207	Int	NA	NA	Official enum CURRENT_LOCATION_1207; four Int values adjacent to current stage and party health.	Move between towns/quests and compare all four values.
0x16B7	FFB7160000	Long-Form Tracking / Statistics Matrix	Statistics	Tentative	NA	Long	NA	NA	1,200 Long values; earlier scan identified it as a tracking section. Looks to be a Tracking Section (500 Values in this section)	Perform one measurable action and compare changed counters.
0x09CD	FFCD090000	Player Position and Orientation	Location	Confirmed	NA	Float	NA	NA	Four Float values previously identified as X, Y, Z, orientation. X,Y,Z,O of Character	NA
0x07D1	FFD1070000	Curio / Item Seed Counter	Curios	Strong	ITEMJUNK_SEEDCOUNTER	UInt	NA	NA	Official enum ITEMJUNK_SEEDCOUNTER; single UInt.	Acquire/open curios and compare.
0x0AF1	FFF10A0000	Weapon Data Global Field 2801	Weapons	Unknown	NA	UInt	NA	NA	Single UInt in WeaponData numeric range; no official enum name.	Modify weapon inventory and compare.
0x1B5A	FF5A1B0000	Gacha / Transmarvel Selection IDs	Gacha	Strong	GACHADATA_GACHA_ID	UInt	NA	NA	Official enum GACHADATA_GACHA_ID; 10 UInt slots. Categories: Weapons (6); Examples: --Removed (Used for Empty Slots)	Roll Transmarvel/gacha and compare slots.
0x189E	FF9E180000	Unknown 110-Slot Progress/Flag List 6302	Progression	Unknown	NA	UInt	NA	NA	110 UInt records; mostly 0/1 values. Categories: Special numeric value (19); Examples: Zero / null	Compare unlock/progression events.
0x0FA1	FFA10F0000	Unknown 1,024-Slot Reference Table 4001	Global State	Unknown	NA	UInt	NA	NA	1,024 UInt slots; many unresolved identifiers. Categories: Weapons (473); Examples: --Removed (Used for Empty Slots)	Use multiple save milestones and cluster changed indices.
0x0FA3	FFA30F0000	Unknown 1,024-Slot State Table 4003	Global State	Tentative	NA	UInt	NA	NA	Paired with 4001; mostly numeric state values. Categories: Special numeric value (640); Examples: Zero / null	Diff alongside 4001 after one event.
0x0642	FF42060000	Mastery Tree Activation Flags	Masteries	Confirmed	NA	Int	NA	NA	Section note confirms Mastery Tree Activated; 16,600 Int records. Mastery Tree Activated	NA
0x0641	FF41060000	Mastery Tree Bonus IDs	Masteries	Strong	NA	UInt	Masteries*	LB	16,600 UInt records containing LB_* mastery/bonus IDs. Categories: Weapons (6341); Internal prefixes: LB_* (232); Examples: --Removed (Used for Empty Slots)	Unlock one mastery node and confirm ID placement.
0x0645	FF45060000	Legacy Over Mastery Levels	Masteries	Tentative	NA	Absent	NA	NA	Section note identifies OverMastery levels; section absent in current save/version. OverMastery Levels / Each Star = 1	Compare older save versions.
0x0C1D	FF1D0C0000	Profile / Loadout Character IDs 3101	Profiles	Tentative	NA	UInt	NA	NA	15 UInt records; some character IDs and empty slots. Categories: Weapons (12), Characters (3); Internal prefixes: PL_* (1); Examples: --Removed (Used for Empty Slots) | Narmaya	Change profile/loadout characters.
0x0C1E	FF1E0C0000	Profile / Loadout Values 3102	Profiles	Unknown	NA	Int	NA	NA	15 Int records paired with 3101.	Change the matching profile/loadout.
0x0C1F	FF1F0C0000	Legacy / Removed Profile Field 3103	Profiles	Unknown	NA	Absent	NA	NA	Section exists in map but has no records in the current save.	Inspect older save versions or features that recreate the section.
0x0C20	FF200C0000	Legacy / Removed Profile Field 3104	Profiles	Unknown	NA	Absent	NA	NA	Section exists in map but has no records in the current save.	Inspect older save versions or features that recreate the section.
0x0C21	FF210C0000	Profile / Loadout State Flags 3105	Profiles	Tentative	NA	UInt	NA	NA	15 UInt values paired with 3101/3102; mostly zero. Categories: Special numeric value (12); Examples: Zero / null	NA
0x0C22	FF220C0000	Profile / Loadout State Flags 3106	Profiles	Tentative	NA	UInt	NA	NA	15 UInt values paired with 3101/3102; mostly zero. Categories: Special numeric value (12); Examples: Zero / null	NA
0x0C24	FF240C0000	Legacy / Removed Profile Field 3108	Profiles	Unknown	NA	Absent	NA	NA	Section exists in map but has no records in the current save.	Inspect older save versions or features that recreate the section.
0x0C81	FF810C0000	Legacy / Removed Profile Field 3201	Profiles	Unknown	NA	Absent	NA	NA	Section exists in map but has no records in the current save.	Inspect older save versions or features that recreate the section.
0x0CE5	FFE50C0000	Legacy / Removed Profile Field 3301	Profiles	Unknown	NA	Absent	NA	NA	Section exists in map but has no records in the current save.	Inspect older save versions or features that recreate the section.
0x0CE6	FFE60C0000	Legacy / Removed Profile Field 3302	Profiles	Unknown	NA	Absent	NA	NA	Section exists in map but has no records in the current save.	Inspect older save versions or features that recreate the section.
0x0CE7	FFE70C0000	Legacy / Removed Profile Field 3303	Profiles	Unknown	NA	Absent	NA	NA	Section exists in map but has no records in the current save.	Inspect older save versions or features that recreate the section.
0x0CE8	FFE80C0000	Legacy / Removed Profile Field 3304	Profiles	Unknown	NA	Absent	NA	NA	Section exists in map but has no records in the current save.	Inspect older save versions or features that recreate the section.
0x0CE9	FFE90C0000	Legacy / Removed Profile Field 3305	Profiles	Unknown	NA	Absent	NA	NA	Section exists in map but has no records in the current save.	Inspect older save versions or features that recreate the section.
0x0E75	FF750E0000	Large Character Reference Table 3701	Characters	Tentative	NA	UInt	NA	NA	1,638 UInt entries; includes character IDs and many empty slots. Character Ids are Present in this section Categories: Weapons (1634), Characters (3); Internal prefixes: PL_* (4); Examples: Zeta | Siegfried | --Removed (Used for Empty Slots)	Compare character unlocks, NPC states, and party changes.
0x1BBD	FFBD1B0000	Unlock IDs	Unlocks	Confirmed	UNLOCKDATA_UNLOCK_ID	UInt	NA	NA	Official SaveIDType UNLOCKDATA_UNLOCK_ID; internal IDs include shops/features. Something to do with Charactes Categories: Weapons (65); Internal prefixes: ShopSellPendulum_* (1), GemMix_* (1), ShopGacha_* (1), QuestCounterInfinity_* (1); Examples: --Removed (Used for Empty Slots)	NA
0x1BBF	FFBF1B0000	Unlock States / Values	Unlocks	Strong	UNLOCKDATA_7103	UInt	NA	NA	Official enum UNLOCKDATA_7103; paired 128-entry state array for Unlock IDs. Categories: Special numeric value (116); Examples: Zero / null	NA
0x125D	FF5D120000	Online Player Reference Field 4701	Online Players	Tentative	NA	UInt	NA	NA	151 UInt entries aligned with online-player list arrays. Categories: Weapons (151); Examples: --Removed (Used for Empty Slots)	NA
0x1260	FF60120000	Online Player State Field 4704	Online Players	Tentative	NA	UInt	NA	NA	151 values aligned with online-player list arrays. Categories: Special numeric value (151); Examples: Zero / null	NA
0x1263	FF63120000	Online Player State Field 4707	Online Players	Tentative	NA	UInt	NA	NA	151 values aligned with online-player list arrays. Categories: Special numeric value (57); Examples: Zero / null	NA
0x1389	FF89130000	Online Player Weapon IDs	Online Players	Strong	NA	UInt	NA	NA	151 entries with resolved WEP_* weapon IDs; aligned with online-player records. Categories: Weapons (149); Internal prefixes: WEP_* (53); Examples: Venustas | Sword of Eos | Fluorithium Blade	NA
0x1198	FF98110000	Online Player Reference Field 4504	Online Players	Tentative	NA	UInt	NA	NA	151 UInt entries aligned with online-player list arrays. Categories: Weapons (151); Examples: --Removed (Used for Empty Slots)	NA
0x119B	FF9B110000	Online Player State Field 4507	Online Players	Tentative	NA	UInt	NA	NA	151 values aligned with online-player list arrays. Categories: Special numeric value (149); Examples: Zero / null	NA
0x11F9	FFF9110000	Online Player Character IDs	Online Players	Confirmed	ONLINEPLAYERLIST_CHARA_ID	UInt	NA	NA	Official SaveIDType ONLINEPLAYERLIST_CHARA_ID. Categories: Weapons (84), Characters (62); Internal prefixes: PL_* (22); Examples: Rackam | Zeta | Gallanza	NA
0x0D49	FF490D0000	Legacy Online/Profile Field 3401	Online Players	Unknown	NA	Absent	NA	NA	Mapped section currently absent.	Inspect older versions or online activity.
0x0B00	FF000B0000	Weapon Wrightstone Item IDs	Weapons	Confirmed	WEAPONDATA_WEAPON_STONE_ITEM_ID	UInt	NA	NA	Official SaveIDType WEAPONDATA_WEAPON_STONE_ITEM_ID. Categories: Weapons (214), Wrightstone (42); Internal prefixes: ITEM_* (9); Examples: Dread Wrightstone - traits LV 20/15/10 | Fortification Wrightstone | Vitality Wrightstone - 3 Traits - Transmarveled Good Quality	NA
0x0AF2	FFF20A0000	Weapon Inventory Order / Sort Index	Weapons	Tentative	NA	UInt	NA	NA	256 UInt values; section note says Weapons Order. Weapons Order? Categories: Special numeric value (76); Examples: Zero / null	NA
0x0AF3	FFF30A0000	Weapon IDs	Weapons	Confirmed	WEAPONDATA_WEAPON_ID	UInt	Weapons	WEP_	Official SaveIDType WEAPONDATA_WEAPON_ID. Weapons IDs Categories: Weapons (216); Internal prefixes: WEP_* (164); Examples: Egoism | Aviaeth Faussart | Sunspot Spear	NA
0x0AF4	FFF40A0000	Weapon Experience	Weapons	Confirmed	WEAPONDATA_WEAPON_XP	UInt	NA	NA	Official SaveIDType WEAPONDATA_WEAPON_XP. Weapons Level Categories: Special numeric value (76); Examples: Zero / null	NA
0x0AF5	FFF50A0000	Weapon Level Cap	Weapons	Strong	WEAPONDATA_WEAPON_2805	Int	NA	NA	Official enum WEAPONDATA_WEAPON_2805; section note identifies current max level cap. Max Level Cap Current 6	NA
0x0AF6	FFF60A0000	Weapon Mirage Munition Plus Marks	Weapons	Strong	WEAPONDATA_WEAPON_2806	Int	NA	NA	Official enum WEAPONDATA_WEAPON_2806; section note identifies yellow plus value. Plus Marks "Mirage Munition" (Yellow Value)	NA
0x0AF7	FFF70A0000	Weapon Data Field 2807	Weapons	Unknown	WEAPONDATA_WEAPON_2807	Int	NA	NA	256 Int values adjacent to XP/cap/plus-mark fields.	NA
0x0AFD	FFFD0A0000	Weapon State / Flags 2813	Weapons	Tentative	NA	UInt	NA	NA	256 UInt values aligned with weapon inventory; mostly small numeric states. Categories: Special numeric value (227); Examples: Zero / null	NA
0x0AFE	FFFE0A0000	Weapon Appearance / Skin ID	Weapons	Strong	WEAPONDATA_WEAPON_2814	UInt	NA	NA	256 per-weapon UInt save keys. 887AE0B0 means default appearance; non-empty values resolve to WEP_* selectors and match the weapon skin shown in game.	Compare before/after selecting a weapon appearance.
0x0AFF	FFFF0A0000	Weapon Flags 2815	Weapons	Tentative	WEAPONDATA_WEAPON_2815	UInt	NA	NA	Official enum WEAPONDATA_WEAPON_2815; 256 UInt values. Categories: Special numeric value (77); Examples: Zero / null	NA
0x06A5	FFA5060000	Current Trait IDs	Traits	Confirmed	NA	UInt	Trait	NA	25,968 UInt entries resolving to SKILL_* trait IDs. Current Traits Categories: Weapons (13937), Trait (11740), Sigils (165); Internal prefixes: SKILL_* (160); Examples: Steady Focus | Cascade | Dragonslayer's Ingenuity	NA
0x06A6	FFA6060000	Current Trait Levels	Traits	Confirmed	NA	Int	NA	NA	Section note identifies Current Traits Level; paired with trait IDs. Current Traits Level	NA
0x183A	FF3A180000	Unknown 30-Slot State List 6202	Global State	Unknown	NA	UInt	NA	NA	30 UInt records; mostly zeros. Categories: Special numeric value (7); Examples: Zero / null	NA
0x0709	FF09070000	Item IDs	Items	Confirmed	ITEMDATA_ITEM_ID	UInt	NA	NA	Official SaveIDType ITEMDATA_ITEM_ID. Item IDS Categories: Treasure (196), Weapons (52), Uncategorized (47); Internal prefixes: ITEM_* (303); Examples: Chieftain's Braid | Demigod Feather | Sequestration Wrightstone - 3 Traits	NA
0x070A	FF0A070000	Item Counts	Items	Confirmed	ITEMDATA_ITEM_COUNT	Int	NA	NA	Official SaveIDType ITEMDATA_ITEM_COUNT. Item Value	NA
0x070B	FF0B070000	Item Flags	Items	Confirmed	ITEMDATA_ITEM_FLAGS	UInt	NA	NA	Official SaveIDType ITEMDATA_ITEM_FLAGS. Categories: Special numeric value (142); Examples: Zero / null	NA
0x070C	FF0C070000	Item Data Field 1804	Items	Unknown	ITEMDATA_1804	UInt	NA	NA	Official enum ITEMDATA_1804; 500 UInt values aligned with item records. Categories: Special numeric value (146); Examples: Zero / null	NA
0x170D	FF0D170000	Tutorial Window IDs	Tutorials	Confirmed	NA	UInt	NA	NA	300 UInt values resolving to TU_* / TUTORIAL_* IDs. Categories: Weapons (111); Internal prefixes: TU_* (134), TUTORIAL_* (23); Examples: --Removed (Used for Empty Slots)	NA
0x170E	FF0E170000	Tutorial Window States / Flags	Tutorials	Strong	NA	UInt	NA	NA	300 UInt values paired with Tutorial Window IDs. Categories: Special numeric value (142); Examples: Zero / null	NA
0x1771	FF71170000	Tutorial Menu Entry IDs	Tutorials	Confirmed	NA	UInt	NA	NA	300 UInt values resolving to tutorial menu IDs. Categories: Weapons (205); Internal prefixes: TUTORIAL_* (95); Examples: --Removed (Used for Empty Slots)	NA
0x1772	FF72170000	Tutorial Menu States / Flags	Tutorials	Strong	NA	UInt	NA	NA	300 UInt values paired with tutorial menu IDs. Categories: Special numeric value (214); Examples: Zero / null	NA
0x0646	FF46060000	Over Mastery Effect IDs	Masteries	Confirmed	NA	UInt	Masteries - Over	NA	164 UInt records containing MED_EFF_* IDs. OverMastery IDs Categories: Masteries - Over (164); Internal prefixes: MED_* (4); Examples: Normal Damage Cap Up | SBA Damage Cap Up | Stun Power Up	NA
0x0647	FF47060000	Over Mastery Levels / Stars	Masteries	Confirmed	NA	Int	NA	NA	164 Int records paired with Over Mastery IDs; section note identifies bitwise levels. OverMastery Levels "Bitwise"	NA
0x17D5	FFD5170000	Island / Area IDs	Locations	Confirmed	ISLANDDATA_ISLAND_ID	UInt	NA	NA	Official SaveIDType ISLANDDATA_ISLAND_ID. Categories: Weapons (19); Internal prefixes: ISLAND_* (13); Examples: --Removed (Used for Empty Slots)	NA
0x1AF5	FFF51A0000	Island / Area States	Locations	Strong	NA	UInt	NA	NA	32 UInt values paired with island IDs; likely unlock/visit state. Categories: Weapons (19); Examples: --Removed (Used for Empty Slots)	NA
0x0899	FF99080000	Party Character Order	Party	Confirmed	NA	UInt	NA	NA	Four UInt values; section note identifies character party order. Character Party Order Categories: Characters (3); Internal prefixes: PL_* (4); Examples: Siegfried | Fraux | Fediel	NA
0x0515	FF15050000	Character Roster IDs	Characters	Strong	NA	UInt	NA	NA	41 UInt records resolving to player/NPC/slot IDs. Character IDs are Stored here Not sure for what Categories: Characters (40); Internal prefixes: PL_* (31), NP_* (6), SLOT_* (4); Examples: Rackam | Zeta | Blank	NA
0x0516	FF16050000	Character Levels	Characters	Tentative	NA	Int	NA	NA	41 Int records directly before Character EXP and aligned with roster IDs.	Level a character and verify.
0x0517	FF17050000	Character Experience	Characters	Confirmed	NA	Int	NA	NA	Section note identifies Character EXP. Character EXP	NA
0x0518	FF18050000	Character Progression Field 1304	Characters	Unknown	NA	Int	NA	NA	41 Int values aligned with character records.	NA
0x0519	FF19050000	Character Unlock / Active Flags	Characters	Strong	NA	UInt	NA	NA	41 UInt values; section note says Activate Characters. Activate Characters Categories: Special numeric value (12); Examples: Zero / null	NA
0x051B	FF1B050000	Character Data Field 1307	Characters	Unknown	NA	Int	NA	NA	41 Int values aligned with the character roster.	Change one character stat/progression state and compare.
0x051C	FF1C050000	Character Data Field 1308	Characters	Unknown	NA	Int	NA	NA	41 Int values aligned with the character roster.	Change one character stat/progression state and compare.
0x051D	FF1D050000	Character Data Field 1309	Characters	Unknown	NA	Int	NA	NA	41 Int values aligned with the character roster.	Change one character stat/progression state and compare.
0x051E	FF1E050000	Character Data Field 1310	Characters	Unknown	NA	Int	NA	NA	41 Int values aligned with the character roster.	Change one character stat/progression state and compare.
0x051F	FF1F050000	Character Data Field 1311	Characters	Unknown	NA	Int	NA	NA	41 Int values aligned with the character roster.	Change one character stat/progression state and compare.
0x0521	FF21050000	Character Data Field 1313	Characters	Unknown	NA	Int	NA	NA	41 Int values aligned with the character roster.	Change one character stat/progression state and compare.
0x076D	FF6D070000	Curio Reward Item IDs	Curios	Confirmed	ITEMJUNK_CURIO_REWARD_ITEMID	UInt	NA	NA	Official SaveIDType ITEMJUNK_CURIO_REWARD_ITEMID. Current Items in Curios Categories: Weapons (4947), Sigils (30), Treasure (7); Internal prefixes: GEEN_* (19), ITEM_* (4); Examples: War Elemental+ | Supplementary Damage V+ | Flight over Fight+	NA
0x076E	FF6E070000	Curio Reward Activation / Quantity	Curios	Strong	ITEMJUNK_CURIO_REWARD_1902	Int	NA	NA	Official enum ITEMJUNK_CURIO_REWARD_1902; section note identifies activation. Curios Activation Section	NA
0x076F	FF6F070000	Curio Reward State / Flags	Curios	Tentative	ITEMJUNK_CURIO_REWARD_1903	UInt	NA	NA	Official enum ITEMJUNK_CURIO_REWARD_1903; paired with reward items. Categories: Special numeric value (4961); Examples: Zero / null	NA
0x0770	FF70070000	Curio Reward Field 1904	Curios	Unknown	ITEMJUNK_CURIO_REWARD_1904	Int	NA	NA	Official enum ITEMJUNK_CURIO_REWARD_1904; paired with curio reward records.	NA
0x20D1	FFD1200000	Character / Entity Reference List 8401	Characters	Tentative	NA	UInt	NA	NA	50 UInt records containing player, NPC, and enemy IDs. Character IDs are Stored here Not sure for what Categories: Characters (35), Weapons (11); Internal prefixes: PL_* (29), NP_* (6), EM_* (4); Examples: Rackam | Zeta | Blank	NA
0x20D2	FFD2200000	Character / Entity State List 8402	Characters	Tentative	NA	UInt	NA	NA	50 UInt records paired with 8401. Categories: Special numeric value (11); Examples: Zero / null	NA
0x0836	FF36080000	Wrightstone Item IDs	Wrightstones	Confirmed	ITEM_UNK_ITEM_ID	UInt	NA	NA	Official enum ITEM_UNK_ITEM_ID; 5,000 current Wrightstone IDs. Current Wrightstones IDS Categories: Weapons (3670), Wrightstone (1302), Uncategorized (2); Internal prefixes: ITEM_* (25); Examples: Sequestration Wrightstone - 3 Traits | Dread Wrightstone - traits LV 20/15/10 | Sequestration Wrightstone - traits LV 15/10/7	NA
0x0837	FF37080000	Wrightstone Slot IDs	Wrightstones	Strong	ITEM_UNK_SLOT_IDS	UInt	NA	NA	Official SaveIDType ITEM_UNK_SLOT_IDS; paired with Wrightstone item IDs. Something to do with Wrightstones?? Categories: Special numeric value (3670); Examples: Zero / null	NA
0x0A8E	FF8E0A0000	Sigil Slot IDs	Sigils	Confirmed	GEMDATA_SLOT_IDS	UInt	NA	NA	Official SaveIDType GEMDATA_SLOT_IDS. Categories: Special numeric value (941); Examples: Zero / null	NA
0x0A8F	FF8F0A0000	Sigil IDs	Sigils	Confirmed	GEMDATA_GEM_ID	UInt	Sigils	GEEN_	Official SaveIDType GEMDATA_GEM_ID. Current Sigils Categories: Sigils (3576), Weapons (941); Internal prefixes: GEEN_* (188); Examples: War Elemental+ | Rose's Blooming | Rose's Blooming+	NA
0x0A90	FF900A0000	Sigil Levels	Sigils	Confirmed	GEMDATA_SKILL_1_LEVEL	Int	NA	NA	Official SaveIDType GEMDATA_SKILL_1_LEVEL. Current Sigils Level	NA
0x0A92	FF920A0000	Sigil Equipped / Worn By	Sigils	Confirmed	GEMDATA_WORN_BY	UInt	Characters	PL	Official SaveIDType GEMDATA_WORN_BY. Character Ids Present In this section Categories: Weapons (4837), Characters (250); Internal prefixes: PL_* (25); Examples: Rackam | Zeta | Katalina	NA
0x0A93	FF930A0000	Sigil Flags	Sigils	Confirmed	GEMDATA_FLAGS	UInt	NA	NA	Official SaveIDType GEMDATA_FLAGS. Categories: Special numeric value (947); Examples: Zero / null	NA
0x1CE9	FFE91C0000	Weapon Appearance Availability IDs	Weapons	Strong	NA	UInt	NA	NA	512-entry WEP_* save-key list paired by UnitID with 0x1CEB. Used by Weapon Appearance Game Rules filtering.	Compare before/after unlocking a new weapon appearance.
0x1CEB	FFEB1C0000	Weapon Appearance Availability States	Weapons	Strong	NA	UInt	NA	NA	512 state values paired with 0x1CE9. Bit 0x04 is treated as appearance available; observed states include 0, 1, 4, and 5.	Confirm the meaning of the additional 0x01 bit in state 5.
0x05DD	FFDD050000	Character Data Field 1501	Characters	Unknown	NA	Int	NA	NA	41 Int values aligned with roster.	NA
0x05DE	FFDE050000	Character Data Field 1502	Characters	Unknown	NA	Int	NA	NA	41 Int values aligned with roster.	NA
0x0F3F	FF3F0F0000	Ability IDs	Abilities	Confirmed	ABILITYDATA_ABILITY_ID	UInt	Abilities	AB_	Official SaveIDType ABILITYDATA_ABILITY_ID. Categories: Weapons (378); Internal prefixes: AB_* (278); Examples: --Removed (Used for Empty Slots)	NA
0x0BB9	FFB90B0000	Ability / Skill Numeric Field 3001	Abilities	Unknown	NA	Int	NA	NA	615 Int records; same range as party-set/ability-related fields.	NA
0x12C1	FFC1120000	Character Reference Matrix 4801	Characters	Tentative	NA	UInt	NA	NA	604 UInt values containing repeated character IDs. Bunch of Character IDs repeted Categories: Characters (335), Weapons (250); Internal prefixes: PL_* (29); Examples: Rackam | Zeta | Katalina	NA
0x1069	FF69100000	Weapon Display / Decoration IDs	Weapons	Tentative	NA	UInt	NA	NA	64 UInt records; one resolved WD_* internal ID. Categories: Weapons (27); Internal prefixes: WD_* (1); Examples: --Removed (Used for Empty Slots)	NA
0x106A	FF6A100000	Weapon Display / Decoration States	Weapons	Tentative	NA	UInt	NA	NA	64 UInt values paired with 4201. Categories: Special numeric value (42); Examples: Zero / null	NA
0x1C85	FF851C0000	Infinity / Special Mode IDs	Modes	Tentative	NA	UInt	NA	NA	64 UInt values; resolved INF_* identifiers. Categories: Weapons (44); Internal prefixes: INF_* (2); Examples: --Removed (Used for Empty Slots)	NA
0x1CB8	FFB81C0000	Infinity / Special Mode States	Modes	Tentative	NA	UInt	NA	NA	128 UInt values paired with mode IDs. Categories: Special numeric value (9); Examples: Zero / null	NA
